Strike,Open,High,Low,Last,Change,Bid,Ask,Volume,"Open Int",Premium,Time,Type
"1,000.00C",0,4975.5,4975.5,4975.5,-13.5,0,0,,,248775,01/16/25,Call
"1,100.00C",0,4875.5,4875.5,4875.5,-13.5,0,0,,,243775,01/16/25,Call
"1,200.00C",0,4775.5,4775.5,4775.5,-13.5,0,0,,,238775,01/16/25,Call
"1,300.00C",0,4675.5,4675.5,4675.5,-13.5,0,0,,,233775,01/16/25,Call
"1,400.00C",0,4575.5,4575.5,4575.5,-13.5,0,0,,,228775,01/16/25,Call
"1,500.00C",0,4475.5,4475.5,4475.5,-13.5,0,0,,,223775,01/16/25,Call
"1,600.00C",0,4375.5,4375.5,4375.5,-13.5,0,0,,,218775,01/16/25,Call
"1,700.00C",0,4275.5,4275.5,4275.5,-13.5,0,0,,,213775,01/16/25,Call
"1,800.00C",0,4175.5,4175.5,4175.5,-13.5,0,0,,,208775,01/16/25,Call
"1,900.00C",0,4075.5,4075.5,4075.5,-13.5,0,0,,,203775,01/16/25,Call
"2,000.00C",0,3975.5,3975.5,3975.5,-13.5,0,0,,,198775,01/16/25,Call
"2,100.00C",0,3875.5,3875.5,3875.5,-13.5,0,0,,,193775,01/16/25,Call
"2,200.00C",0,3775.5,3775.5,3775.5,-13.5,0,0,,,188775,01/16/25,Call
"2,300.00C",0,3675.5,3675.5,3675.5,-13.5,0,0,,,183775,01/16/25,Call
"2,400.00C",0,3575.5,3575.5,3575.5,-13.5,0,0,,,178775,01/16/25,Call
"2,500.00C",0,3475.5,3475.5,3475.5,-13.5,0,0,,,173775,01/16/25,Call
"2,600.00C",0,3375.5,3375.5,3375.5,-13.5,0,0,,,168775,01/16/25,Call
"2,700.00C",0,3275.5,3275.5,3275.5,-13.5,0,0,,,163775,01/16/25,Call
"2,800.00C",0,3175.5,3175.5,3175.5,-13.5,0,0,,,158775,01/16/25,Call
"2,900.00C",0,3075.5,3075.5,3075.5,-13.5,0,0,,,153775,01/16/25,Call
"3,000.00C",0,2975.5,2975.5,2975.5,-13.5,0,0,,,148775,01/16/25,Call
